ProductNo,Product,SKU,Oem,Supplier,ProductType,Price,PriceRetail,Cost,Taxable,Surcharge,SurchargeTitle,Shipping,ShippingExemptInd,SaleExclude,Quantity,Unit,Threshold,Weight,Length,Height,Width,ContainerCode,Brief,Description,Subscription,Thumbnail,Photo,Template,Featured,ExtText1,ExtText2,ExtText3,ExtText4,ExtText5,ExtText6,Active,AuthReq,Isbn,Mpn,Upc,Condition,Media,NaturalSearchKeywords,NaturalSearchDescription,Category,Keywords,Attribute1SharedName,Attribute1Label,Attribute1Values,Attribute1DisplayType,Attribute2SharedName,Attribute2Label,Attribute2Values,Attribute2DisplayType,Attribute3SharedName,Attribute3Label,Attribute3Values,Attribute3DisplayType,Attribute4SharedName,Attribute4Label,Attribute4Values,Attribute4DisplayType,Attribute5SharedName,Attribute5Label,Attribute5Values,Attribute5DisplayType,Attribute6SharedName,Attribute6Label,Attribute6Values,Attribute6DisplayType,Attribute7SharedName,Attribute7Label,Attribute7Values,Attribute7DisplayType,Attribute8SharedName,Attribute8Label,Attribute8Values,Attribute8DisplayType,Attribute9SharedName,Attribute9Label,Attribute9Values,Attribute9DisplayType,Attribute10SharedName,Attribute10Label,Attribute10Values,Attribute10DisplayType
188,Women's Lyrical Skirt -- White,44LLS-02,Leos Dancewear,,Normal,$66.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,4,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Floor length crepe skirt with elastic waistband. Skirt is paired with a long sleeve shawl collar leotard. Ideal for liturgical dancing, performances, or theatrical productions. Original Leo's dance product.","INFORMATION: Floor length crepe skirt with elastic waistband. Skirt is paired with a long sleeve shawl collar leotard. Ideal for liturgical dancing, performances, or theatrical productions. Original Leo's dance product. FITTING GUIDE: Same as your clothing size -- either regular or plus size.",No,60-7-2T_thumb.jpg,60-7-2T.jpg,,No,,,,,,,Yes,No,,,,New,No,,Women's Lyrical Skirt -- White,Dance Apparel,,,44LLS-02,ONE SIZE/XXL,Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"1.5"" Lillian -- Latin Sandal -- Black",88CBR14-01,,,Normal,$112.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,18,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Leather upper, suede sole. T-strap gives good support. Stable, low heel and comfortable. Ideal for ballroom, practice or salsa dancing. Made in Thailand. Original Capezio dance product.","INFORMATION: Leather upper, suede sole. T-strap gives good support. Stable, low heel and comfortable. Ideal for ballroom, practice or salsa dancing. Made in Thailand. Original Capezio dance product. FITTING GUIDE: Fits same as street size.",No,BR14-1Lillian_thumb.jpg,BR14-1Lillian.jpg,,No,,,,,,,Yes,No,,,,New,No,,"1.5"" Lillian -- Latin Sandal -- Black",Women's Ballroom/Salsa Shoes,,,88CBR14-01,"5M,5W,5.5M,5.5W,6W,6.5M,7W,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Salsation -- Split Sole Dancesneaker -- Black,66B560-01,,,Normal,$89.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,11,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Suede and mesh upper, split rubber sole. Lower platform, supportive, and comfortable. Ideal for ballroom, jazz, salsa and zumba dancing. Made in China. Original Bloch dance shoe.","INFORMATION: Suede and mesh upper, split rubber sole. Lower platform, supportive, and comfortable. Ideal for ballroom, jazz and zumba dancing. Made in China. Original Bloch dance shoe. FITTING GUIDE: Fits half size up from street.",No,S0560_thumb.jpg,S0560.jpg,,No,,,,,,,Yes,No,,,,New,No,,Salsation -- Split Sole Dancesneaker -- Black,Dancesneakers,,,66B560-01,"6M,6.5M,7M,7.5M,8.5M,9M,10.5M,11M,11.5M,12M,12.5M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Salsation -- Split Sole Dancesneaker -- Black,66B560-01,,,Normal,$89.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,11,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Suede and mesh upper, split rubber sole. Lower platform, supportive, and comfortable. Ideal for ballroom, jazz, salsa and zumba dancing. Made in China. Original Bloch dance shoe.","INFORMATION: Suede and mesh upper, split rubber sole. Lower platform, supportive, and comfortable. Ideal for ballroom, jazz and zumba dancing. Made in China. Original Bloch dance shoe. FITTING GUIDE: Fits half size up from street.",No,S0560_thumb.jpg,S0560.jpg,,No,,,,,,,Yes,No,,,,New,No,,Salsation -- Split Sole Dancesneaker -- Black,Women's Ballroom/Salsa Shoes,,,66B560-01,"6M,6.5M,7M,7.5M,8.5M,9M,10.5M,11M,11.5M,12M,12.5M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Salsation -- Split Sole Dancesneaker -- Black,66B560-01,,,Normal,$89.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,11,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Suede and mesh upper, split rubber sole. Lower platform, supportive, and comfortable. Ideal for ballroom, jazz, salsa and zumba dancing. Made in China. Original Bloch dance shoe.","INFORMATION: Suede and mesh upper, split rubber sole. Lower platform, supportive, and comfortable. Ideal for ballroom, jazz and zumba dancing. Made in China. Original Bloch dance shoe. FITTING GUIDE: Fits half size up from street.",No,S0560_thumb.jpg,S0560.jpg,,No,,,,,,,Yes,No,,,,New,No,,Salsation -- Split Sole Dancesneaker -- Black,Men's Ballroom/Salsa Shoes,,,66B560-01,"6M,6.5M,7M,7.5M,8.5M,9M,10.5M,11M,11.5M,12M,12.5M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Larry -- Split Sole Dancesneaker -- Black,,,,Normal,$93.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,18,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Suede and mesh upper, split rubber sole. Classic design, supportive, and comfortable. Ideal for ballroom, jazz and zumba dancing. Made in China. Original Bloch dance shoe.","INFORMATION: Suede and mesh upper, split rubber sole. Lightweight design, supportive, and comfortable. Ideal for ballroom, jazz and zumba dancing. Made in China. Original Bloch dance shoe. FITTING GUIDE: Fits half size up from street.",No,s0539_thumb.jpg,s0539.jpg,,No,,,,,,,Yes,No,,,,New,No,,Larry -- Split Sole Dancesneaker -- Black,Dancesneakers,,,66B539-01,"4M,5M,5.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,10.5M,11M,11.5M,12M,12.5M,13M,13.5M,14M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Maura -- Split Sole Dancesneaker -- Black,55P31-01,,,Normal,$74.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,11,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Mesh and suede leather upper, suede sole. Lightweight, supportive and  comfortable. The heel has a cushioned air pocket for shock absorption and a turning circle under the ball of the foot. A comfortable and practical shoe, the Maura allows articulation of the foot while maintaining the look of a sneaker. Ideal for ballroom, salsa and zumba dancing. Made in China. Original Sansha dance product.","INFORMATION: Mesh and suede leather upper, suede sole. Lightweight, supportive and  comfortable. The heel has a cushioned air pocket for shock absorption and a turning circle under the ball of the foot. A comfortable and practical shoe, the Maura allows articulation of the foot while maintaining the look of a sneaker. Ideal for ballroom, salsa and zumba dancing. Made in China. Original Sansha dance product.  FITTING GUIDE: For women's sizes through 8, go up 1 size; for women's sizes 9 and up, go up 2 to 3 sizes. For men's sizes, go up 4 to 5 sizes from street size.",No,Sansha_Dance_SneakerP31.Maura_thumb.jpg,Sansha_Dance_SneakerP31.Maura.jpg,,No,,,,,,,Yes,No,,,,New,No,,Maura -- Split Sole Dancesneaker -- Black,Dancesneakers,,,55P31-01,"7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Maura -- Split Sole Dancesneaker -- Black,55P31-01,,,Normal,$74.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,11,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Mesh and suede leather upper, suede sole. Lightweight, supportive and  comfortable. The heel has a cushioned air pocket for shock absorption and a turning circle under the ball of the foot. A comfortable and practical shoe, the Maura allows articulation of the foot while maintaining the look of a sneaker. Ideal for ballroom, salsa and zumba dancing. Made in China. Original Sansha dance product.","INFORMATION: Mesh and suede leather upper, suede sole. Lightweight, supportive and  comfortable. The heel has a cushioned air pocket for shock absorption and a turning circle under the ball of the foot. A comfortable and practical shoe, the Maura allows articulation of the foot while maintaining the look of a sneaker. Ideal for ballroom, salsa and zumba dancing. Made in China. Original Sansha dance product.  FITTING GUIDE: For women's sizes through 8, go up 1 size; for women's sizes 9 and up, go up 2 to 3 sizes. For men's sizes, go up 4 to 5 sizes from street size.",No,Sansha_Dance_SneakerP31.Maura_thumb.jpg,Sansha_Dance_SneakerP31.Maura.jpg,,No,,,,,,,Yes,No,,,,New,No,,Maura -- Split Sole Dancesneaker -- Black,Women's Ballroom/Salsa Shoes,,,55P31-01,"7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Maura -- Split Sole Dancesneaker -- Black,55P31-01,,,Normal,$74.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,11,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Mesh and suede leather upper, suede sole. Lightweight, supportive and  comfortable. The heel has a cushioned air pocket for shock absorption and a turning circle under the ball of the foot. A comfortable and practical shoe, the Maura allows articulation of the foot while maintaining the look of a sneaker. Ideal for ballroom, salsa and zumba dancing. Made in China. Original Sansha dance product.","INFORMATION: Mesh and suede leather upper, suede sole. Lightweight, supportive and  comfortable. The heel has a cushioned air pocket for shock absorption and a turning circle under the ball of the foot. A comfortable and practical shoe, the Maura allows articulation of the foot while maintaining the look of a sneaker. Ideal for ballroom, salsa and zumba dancing. Made in China. Original Sansha dance product.  FITTING GUIDE: For women's sizes through 8, go up 1 size; for women's sizes 9 and up, go up 2 to 3 sizes. For men's sizes, go up 4 to 5 sizes from street size.",No,Sansha_Dance_SneakerP31.Maura_thumb.jpg,Sansha_Dance_SneakerP31.Maura.jpg,,No,,,,,,,Yes,No,,,,New,No,,Maura -- Split Sole Dancesneaker -- Black,Men's Ballroom/Salsa Shoes,,,55P31-01,"7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,6 Row Coin Hip Scarf -- Black/Gold,25AHS-07,Teddy Shoes,,Normal,$64.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,3,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Gold coin hip scarf, great sound. Ideal for belly dancing. Original Anatolia dance product. Made in Turkey.","INFORMATION: Gold coin hip scarf, great sound. Ideal for belly dancing. Original Anatolia dance product. Made in Turkey. FITTING GUIDE: Fits a plus size adult.",No,DSC01602.jpg,DSC01602.jpg,,No,,,,,,,No,No,,,,New,No,,6 Row Coin Hip Scarf -- Black/Gold,Belly Dancing Supplies,,,25AHS-07,Plus Size,Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"3.25"" Rona -- Tango Shoe -- Black",56NT113-01,Neo Tango,,Normal,$232.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,2,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Leather Upper, leather sole. Instep design with basket weave,  design, stable heel, and very comfortable. Ideal for streetwear or tango dancing. Handcrated in Argentina. Original Neo Tango dance shoe. FITTING GUIDE:","INFORMATION: Leather Upper, leather sole. Instep design with basket weave,  design, stable heel, and very comfortable. Ideal for streetwear or tango dancing. Handcrafted in Argentina. Original Neo Tango dance shoe. FITTING GUIDE: Fits same as street size.",No,113_thumb.JPG,113.JPG,,No,,,,,,,Yes,No,,,,New,No,,"3.25"" Rona -- Tango Shoe -- Black",Tango Shoes,,,56NT113-01,"9M,40M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,"3.38"" Paula -- Flare Heel Latin Sandal -- Light Tan Satin",11B205-51LS,Teddy Shoes,,Normal,$145.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,7,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Satin upper, suede sole. Double instep strap design, very  flexible,  and comfortable. Ideal for ballroom competition or formal dancing.  for   Made in China. Original Teddy Shoes dance product.","INFORMATION: Satin upper, suede sole. Double instep strap design, very flexible,  and comfortable. Ideal for ballroom competition or formal dancing.  for   Made in China. Original Teddy Shoes dance product. FITTING GUIDE: Same  as street size.",No,,,,No,,,,,,,Yes,No,,,,New,No,,"3.38"" Paula -- Flare Heel Latin Sandal -- Light Tan Satin",,,,11B205-51LS,"5M,5.5M,6M,6.5M,7M,7.5M,9M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"3.5"" Brigitte -- Tango Shoe -- Black",46DBRI-01,Darcos,,Normal,$205.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,0,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Leather upper, leather sole. T-strap design, stable heel, and comfortable. Ideal for tango dancing or streetwear. Made in Argentina. Original Darcos dance shoe.","INFORMATION: Leather upper, leather sole. T-strap design, stable heel, and comfortable. Ideal for tango dancing or streetwear. Made in Argentina. Original Darcos dance shoe. FITTING GUIDE: Fits same as street size.",No,Brigitte20_thumb.jpg,Brigitte20.jpg,,No,,,,,,,No,No,,,,New,No,,"3.5"" Brigitte -- Tango Shoe -- Black",Tango Shoes,,,46DBRI-01,,Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"2.5"" Cecile -- Flare Heel T-Strap Latin Sandal -- Black",99AL29-01,Angelo Luzio,,Normal,$137.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,9,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Leather upper, suede sole. Flexible, supportive, and very comfortable. Ideal for ballroom or salsa dancing. Made in Canada or China. Original Angelo Luzio dance shoe.","INFORMATION: Leather upper, suede sole. Flexible, supportive, and very comfortable. Ideal for ballroom or salsa dancing. Made in Canada or China. Original Angelo Luzio dance shoe. FITTING GUIDE: Same as street size.",No,Cecile.Black.m-29_thumb.jpg,Cecile.Black.m-29.jpg,,No,,,,,,,Yes,No,,,,New,No,,"2.5"" Cecile -- Flare Heel T-Strap Latin Sandal -- Black",Women's Ballroom/Salsa Shoes,,,99AL29-01,"5B,5.5B,6.5B,8.5B,9B,9.5B,10B,10.5B,11B",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,"3.5"" Nuevaluna -- Tango Shoe -- Black/Silver Polka Dots",36TNV-01S,Robin Tara,,Normal,$205.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,5,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Leather upper, leather sole. Classy, stable heel, and comfortable. Ideal for streetwear or tango dancing. Made in Argentina. Original Robin Tara dance shoe.","INFORMATION: Leather upper, leather sole. Classy, stable heel, and comfortable. Ideal for streetwear or tango dancing. Made in Argentina. Original Robin Tara dance shoe. FITTING GUIDE: Fits same as street size.",No,Nuevaluna_thumb.jpg,Nuevaluna.jpg,,No,,,,,,,Yes,No,,,,New,No,,"3.5"" Nuevaluna -- Tango Shoe -- Black/Silver Polka Dots",Tango Shoes,,,36TNV-01S,"6M,8M,8,5M,9M,9.5M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,"3.5"" Ginger -- Tango Shoe -- Silver",36TGIN-44,Robin Tara,,Normal,$205.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,3,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Leather upper, leather sole. Classy, stable heel, and comfortable. Ideal for streetwear or tango dancing. Made in Argentina. Original Robin Tara dance shoe.","INFORMATION: Leather upper, leather sole. Classy, stable heel, and comfortable. Ideal for streetwear or tango dancing. Made in Argentina. Original Robin Tara dance shoe. FITTING GUIDE: Fits same as street size.",No,Ginger_thumb.jpg,Ginger.jpg,,No,,,,,,,Yes,No,,,,New,No,,"3.5"" Ginger -- Tango Shoe -- Silver",Tango Shoes,,,36TGIN-44,"6M,8.5M,9M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Jose -- Men's Standard Snake Print Tie - Black,11VDC1-01,Teddy Shoes,,Normal,$90.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,4,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Black snake print leather upper, suede sole. Dressy, lightweight, and affordable. Ideal for ballroom competition or formal dancing. Made in China. Original Teddy Shoes dance product.","INFORMATION: Black snake print leather upper, suede sole. Dressy, lightweight, and affordable. Ideal for ballroom competition or formal dancing. Made in China. Original Teddy Shoes dance product. FITTING GUIDE: Same as street size.",No,DC100.jpg,DC100.jpg,,No,,,,,,,Yes,No,,,,New,No,,Jose -- Men's Standard Snake Print Tie - Black,Men's Ballroom/Salsa Shoes,,,11VDC1-01,"6M,6.5M,7.5M,12M",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
